"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 11 09:39:58 UTC 2025","Sat Oct 11 09:39:58 UTC 2025","91","AutomationExercise Suite","All Tests","org.TestCases.HomePageTests","org.TestCases.HomePageTests","testScrollToProductSection","testScrollToProductSection","Verify product section is accessible by scrolling"
"passed","Sat Oct 11 09:39:53 UTC 2025","Sat Oct 11 09:39:53 UTC 2025","68","AutomationExercise Suite","All Tests","org.TestCases.HomePageTests","org.TestCases.HomePageTests","testLogoVisibility","testLogoVisibility","Verify company logo is visible on homepage"
"passed","Sat Oct 11 09:40:01 UTC 2025","Sat Oct 11 09:40:01 UTC 2025","38","AutomationExercise Suite","All Tests","org.TestCases.ProductPageTest","org.TestCases.ProductPageTest","testProductListingPage","testProductListingPage","Verify that all products are visible on the products page"
"passed","Sat Oct 11 09:39:56 UTC 2025","Sat Oct 11 09:39:56 UTC 2025","104","AutomationExercise Suite","All Tests","org.TestCases.HomePageTests","org.TestCases.HomePageTests","testScrollToFooter","testScrollToFooter","Verify ability to scroll to footer section"
"failed","Sat Oct 11 09:40:04 UTC 2025","Sat Oct 11 09:40:35 UTC 2025","31450","AutomationExercise Suite","All Tests","org.TestCases.ProductPageTest","org.TestCases.ProductPageTest","testProductDetailsPage","testProductDetailsPage","Verify that product details are displayed correctly when viewing a single product"
"passed","Sat Oct 11 09:40:40 UTC 2025","Sat Oct 11 09:40:42 UTC 2025","1348","AutomationExercise Suite","All Tests","org.TestCases.ProductPageTest","org.TestCases.ProductPageTest","testSaleOfferImage","testSaleOfferImage","Verify sale offer image is visible on the products page"
